explainer,seed,corruption,severity,zone,sample_idx,similarity,abs_dH,invariant,both_correct
GradCAM,7,brightness,1,robust,96,1.0,8.903443813323975e-06,True,True
GradCAM,7,brightness,1,silent_drift,805,0.0,0.38456282019615173,True,True
GradCAM,7,brightness,1,stubborn_failure,399,1.0,0.0005257949233055115,True,False
GradCAM,7,brightness,1,expected_failure,850,0.0,0.2585427165031433,True,False
GradCAM,7,brightness,2,robust,887,1.0,1.4901161193847656e-08,True,True
GradCAM,7,brightness,2,silent_drift,753,0.0,0.7795529365539551,True,True
GradCAM,7,brightness,2,stubborn_failure,399,1.0,0.0038175061345100403,True,False
GradCAM,7,brightness,2,expected_failure,381,0.0,0.5960620641708374,True,False
GradCAM,7,brightness,3,robust,841,1.0,1.354515552520752e-05,True,True
GradCAM,7,brightness,3,silent_drift,66,0.0,1.4816876649856567,True,True
GradCAM,7,brightness,3,stubborn_failure,147,1.0,0.0027380287647247314,True,False
GradCAM,7,brightness,3,expected_failure,381,0.0,0.7351027727127075,True,False
GradCAM,7,brightness,5,robust,640,1.0,0.00010799616575241089,True,True
GradCAM,7,brightness,5,silent_drift,66,0.0,1.7863694429397583,True,True
GradCAM,7,brightness,5,stubborn_failure,788,1.0,0.0051566362380981445,True,False
GradCAM,7,brightness,5,expected_failure,753,0.0,1.491684913635254,False,False
GradCAM,7,fog,1,robust,927,1.0,1.6845762729644775e-05,True,True
GradCAM,7,fog,1,silent_drift,1,0.0,0.7440091371536255,True,True
GradCAM,7,fog,1,stubborn_failure,402,1.0,0.0013023614883422852,True,False
GradCAM,7,fog,1,expected_failure,503,0.0,1.0713164806365967,False,False
GradCAM,7,fog,2,robust,466,1.0,3.565847873687744e-05,True,True
GradCAM,7,fog,2,silent_drift,206,0.0,1.2655537128448486,True,True
GradCAM,7,fog,2,stubborn_failure,399,1.0,0.004682213068008423,True,False
GradCAM,7,fog,2,expected_failure,159,0.0,1.3636165857315063,False,False
GradCAM,7,fog,3,robust,376,1.0,3.546476364135742e-06,True,True
GradCAM,7,fog,3,silent_drift,307,0.0,1.2098674774169922,True,True
GradCAM,7,fog,3,stubborn_failure,136,1.0,0.010044265538454056,True,False
GradCAM,7,fog,3,expected_failure,709,0.0,1.4010096788406372,False,False
GradCAM,7,fog,5,robust,840,1.0,8.009374141693115e-06,True,True
GradCAM,7,fog,5,silent_drift,450,0.0,1.828650712966919,True,True
GradCAM,7,fog,5,stubborn_failure,136,1.0,0.0023883655667304993,True,False
GradCAM,7,fog,5,expected_failure,61,0.0,1.6122380495071411,False,False
GradCAM,7,gaussian_noise,1,robust,354,1.0,1.4841556549072266e-05,True,True
GradCAM,7,gaussian_noise,1,silent_drift,34,0.0,1.5039085149765015,True,True
GradCAM,7,gaussian_noise,1,stubborn_failure,110,1.0,0.010758638381958008,False,False
GradCAM,7,gaussian_noise,1,expected_failure,524,0.0,1.816935658454895,False,False
GradCAM,7,gaussian_noise,2,robust,144,1.0,1.284480094909668e-05,True,True
GradCAM,7,gaussian_noise,2,silent_drift,552,0.0,1.525795817375183,True,True
GradCAM,7,gaussian_noise,2,stubborn_failure,557,1.0,0.003528088331222534,True,False
GradCAM,7,gaussian_noise,2,expected_failure,237,0.0,1.6939104795455933,False,False
GradCAM,7,gaussian_noise,3,robust,530,1.0,0.0006531178951263428,True,True
GradCAM,7,gaussian_noise,3,silent_drift,412,0.0,1.6356010437011719,True,True
GradCAM,7,gaussian_noise,3,stubborn_failure,193,1.0,0.01620185375213623,False,False
GradCAM,7,gaussian_noise,3,expected_failure,57,0.0,1.7807834148406982,False,False
GradCAM,7,gaussian_noise,5,robust,88,1.0,0.0012231692671775818,True,True
GradCAM,7,gaussian_noise,5,silent_drift,790,0.0,1.9336175918579102,True,True
GradCAM,7,gaussian_noise,5,stubborn_failure,950,1.0,0.002650529146194458,False,False
GradCAM,7,gaussian_noise,5,expected_failure,445,0.0,1.8392478227615356,False,False
GradCAM,42,brightness,1,robust,935,1.0,6.42240047454834e-06,True,True
GradCAM,42,brightness,1,silent_drift,879,0.0,0.8672600984573364,True,True
GradCAM,42,brightness,1,stubborn_failure,219,1.0,0.0005257949233055115,True,False
GradCAM,42,brightness,1,expected_failure,449,0.0,0.396886944770813,False,False
GradCAM,42,brightness,2,robust,611,1.0,1.4454126358032227e-05,True,True
GradCAM,42,brightness,2,silent_drift,879,0.0,1.1814465522766113,True,True
GradCAM,42,brightness,2,stubborn_failure,258,1.0,0.003493368625640869,True,False
GradCAM,42,brightness,2,expected_failure,368,0.0,0.6770097613334656,True,False
GradCAM,42,brightness,3,robust,992,1.0,2.0973384380340576e-05,True,True
GradCAM,42,brightness,3,silent_drift,673,0.0,1.486018419265747,True,True
GradCAM,42,brightness,3,stubborn_failure,809,1.0,0.0027380287647247314,True,False
GradCAM,42,brightness,3,expected_failure,361,0.0,0.9280481934547424,False,False
GradCAM,42,brightness,5,robust,301,1.0,5.5693089962005615e-05,True,True
GradCAM,42,brightness,5,silent_drift,879,0.0,1.2655898332595825,True,True
GradCAM,42,brightness,5,stubborn_failure,372,1.0,0.012174010276794434,True,False
GradCAM,42,brightness,5,expected_failure,182,0.0,1.6613707542419434,False,False
GradCAM,42,fog,1,robust,51,1.0,5.647540092468262e-06,True,True
GradCAM,42,fog,1,silent_drift,366,0.0,0.5333434343338013,True,True
GradCAM,42,fog,1,stubborn_failure,219,1.0,0.00437367707490921,True,False
GradCAM,42,fog,1,expected_failure,609,0.0,0.5413089990615845,True,False
GradCAM,42,fog,2,robust,591,1.0,9.320676326751709e-06,True,True
GradCAM,42,fog,2,silent_drift,217,0.0,1.3253957033157349,True,True
GradCAM,42,fog,2,stubborn_failure,219,1.0,0.004682213068008423,True,False
GradCAM,42,fog,2,expected_failure,81,0.0,1.6941782236099243,False,False
GradCAM,42,fog,3,robust,234,1.0,1.1570751667022705e-05,True,True
GradCAM,42,fog,3,silent_drift,793,0.0,1.6333916187286377,True,True
GradCAM,42,fog,3,stubborn_failure,31,1.0,0.0009959787130355835,True,False
GradCAM,42,fog,3,expected_failure,12,0.0,1.5939853191375732,False,False
GradCAM,42,fog,5,robust,371,1.0,5.3651630878448486e-05,True,True
GradCAM,42,fog,5,silent_drift,4,0.0,1.828650712966919,True,True
GradCAM,42,fog,5,stubborn_failure,849,1.0,0.004354171454906464,True,False
GradCAM,42,fog,5,expected_failure,109,0.0,1.6858675479888916,False,False
GradCAM,42,gaussian_noise,1,robust,255,1.0,1.4841556549072266e-05,True,True
GradCAM,42,gaussian_noise,1,silent_drift,91,0.0,1.3812646865844727,True,True
GradCAM,42,gaussian_noise,1,stubborn_failure,31,1.0,0.008654221892356873,True,False
GradCAM,42,gaussian_noise,1,expected_failure,868,0.0,1.6904082298278809,False,False
GradCAM,42,gaussian_noise,2,robust,972,1.0,0.00010106712579727173,True,True
GradCAM,42,gaussian_noise,2,silent_drift,647,0.0,1.70798659324646,True,True
GradCAM,42,gaussian_noise,2,stubborn_failure,330,1.0,0.0006017908453941345,False,False
GradCAM,42,gaussian_noise,2,expected_failure,971,0.0,1.9369796514511108,False,False
GradCAM,42,gaussian_noise,3,robust,111,1.0,0.00028127431869506836,True,True
GradCAM,42,gaussian_noise,3,silent_drift,685,0.0,1.7889231443405151,True,True
GradCAM,42,gaussian_noise,3,stubborn_failure,664,1.0,0.0007644891738891602,True,False
GradCAM,42,gaussian_noise,3,expected_failure,726,0.0,1.9921125173568726,False,False
GradCAM,42,gaussian_noise,5,robust,316,1.0,0.003513440489768982,True,True
GradCAM,42,gaussian_noise,5,silent_drift,265,0.0,1.7732065916061401,True,True
GradCAM,42,gaussian_noise,5,stubborn_failure,860,1.0,0.006314575672149658,False,False
GradCAM,42,gaussian_noise,5,expected_failure,810,0.0,1.8109309673309326,False,False
GradCAM,52,brightness,1,robust,431,1.0,3.8743019104003906e-07,True,True
GradCAM,52,brightness,1,silent_drift,375,0.0,0.5028274059295654,True,True
GradCAM,52,brightness,1,stubborn_failure,920,1.0,0.0009178146719932556,True,False
GradCAM,52,brightness,1,expected_failure,752,0.0,0.2625802755355835,False,False
GradCAM,52,brightness,2,robust,243,1.0,6.649643182754517e-06,True,True
GradCAM,52,brightness,2,silent_drift,375,0.0,0.8196737766265869,True,True
GradCAM,52,brightness,2,stubborn_failure,469,1.0,0.002406597137451172,False,False
GradCAM,52,brightness,2,expected_failure,179,0.0,0.4362558126449585,False,False
GradCAM,52,brightness,3,robust,514,1.0,2.545863389968872e-05,True,True
GradCAM,52,brightness,3,silent_drift,156,0.0,1.2361538410186768,True,True
GradCAM,52,brightness,3,stubborn_failure,586,1.0,0.005696937441825867,True,False
GradCAM,52,brightness,3,expected_failure,472,0.0,1.3226304054260254,False,False
GradCAM,52,brightness,5,robust,13,1.0,4.322081804275513e-05,True,True
GradCAM,52,brightness,5,silent_drift,106,0.0,1.3972446918487549,True,True
GradCAM,52,brightness,5,stubborn_failure,862,1.0,0.004364825785160065,True,False
GradCAM,52,brightness,5,expected_failure,267,0.0,1.6613707542419434,False,False
GradCAM,52,fog,1,robust,781,1.0,4.284083843231201e-06,True,True
GradCAM,52,fog,1,silent_drift,995,0.0,0.9143622517585754,True,True
GradCAM,52,fog,1,stubborn_failure,220,1.0,0.0017666816711425781,False,False
GradCAM,52,fog,1,expected_failure,692,0.0,0.3999277651309967,True,False
GradCAM,52,fog,2,robust,726,1.0,5.07161021232605e-05,True,True
GradCAM,52,fog,2,silent_drift,277,0.0,1.2655537128448486,True,True
GradCAM,52,fog,2,stubborn_failure,845,1.0,0.006927490234375,True,False
GradCAM,52,fog,2,expected_failure,704,0.0,1.1468740701675415,False,False
GradCAM,52,fog,3,robust,521,1.0,6.952136754989624e-05,True,True
GradCAM,52,fog,3,silent_drift,707,0.0,1.299103021621704,True,True
GradCAM,52,fog,3,stubborn_failure,84,1.0,8.165836334228516e-05,False,False
GradCAM,52,fog,3,expected_failure,591,0.0,1.6622918844223022,False,False
GradCAM,52,fog,5,robust,439,1.0,8.009374141693115e-06,True,True
GradCAM,52,fog,5,silent_drift,784,0.0,1.6216404438018799,True,True
GradCAM,52,fog,5,stubborn_failure,634,1.0,0.010692611336708069,True,False
GradCAM,52,fog,5,expected_failure,674,0.0,1.82901132106781,False,False
GradCAM,52,gaussian_noise,1,robust,963,1.0,4.201382398605347e-05,True,True
GradCAM,52,gaussian_noise,1,silent_drift,130,0.0,1.7449637651443481,True,True
GradCAM,52,gaussian_noise,1,stubborn_failure,762,1.0,0.008685946464538574,False,False
GradCAM,52,gaussian_noise,1,expected_failure,339,0.0,1.622941493988037,False,False
GradCAM,52,gaussian_noise,2,robust,691,1.0,6.579235196113586e-05,True,True
GradCAM,52,gaussian_noise,2,silent_drift,518,0.0,1.8730324506759644,True,True
GradCAM,52,gaussian_noise,2,stubborn_failure,826,1.0,0.0006017908453941345,False,False
GradCAM,52,gaussian_noise,2,expected_failure,637,0.0,1.7377339601516724,False,False
GradCAM,52,gaussian_noise,3,robust,246,1.0,0.000593431293964386,True,True
GradCAM,52,gaussian_noise,3,silent_drift,344,0.0,1.6503568887710571,True,True
GradCAM,52,gaussian_noise,3,stubborn_failure,508,1.0,0.0007644891738891602,True,False
GradCAM,52,gaussian_noise,3,expected_failure,89,0.0,1.8703606128692627,False,False
GradCAM,52,gaussian_noise,5,robust,669,1.0,0.00032098591327667236,True,True
GradCAM,52,gaussian_noise,5,silent_drift,238,0.0,1.9336175918579102,True,True
GradCAM,52,gaussian_noise,5,stubborn_failure,361,1.0,0.009088501334190369,False,False
GradCAM,52,gaussian_noise,5,expected_failure,755,0.0,1.884267807006836,False,False
GradCAM,128,brightness,1,robust,454,1.0,8.665025234222412e-06,True,True
GradCAM,128,brightness,1,silent_drift,25,0.0,0.3464502692222595,True,True
GradCAM,128,brightness,1,stubborn_failure,150,1.0,0.00023103505373001099,True,False
GradCAM,128,brightness,1,expected_failure,924,0.0,0.7498171329498291,True,False
GradCAM,128,brightness,2,robust,762,1.0,1.3262033462524414e-06,True,True
GradCAM,128,brightness,2,silent_drift,187,0.0,0.8291475772857666,True,True
GradCAM,128,brightness,2,stubborn_failure,150,1.0,4.9173831939697266e-06,True,False
GradCAM,128,brightness,2,expected_failure,924,0.0,1.1766290664672852,True,False
GradCAM,128,brightness,3,robust,219,1.0,0.00011523067951202393,True,True
GradCAM,128,brightness,3,silent_drift,870,0.0,1.2343151569366455,True,True
GradCAM,128,brightness,3,stubborn_failure,768,1.0,0.0005522966384887695,False,False
GradCAM,128,brightness,3,expected_failure,924,0.0,1.203339695930481,True,False
GradCAM,128,brightness,5,robust,148,1.0,1.0952353477478027e-05,True,True
GradCAM,128,brightness,5,silent_drift,698,0.0,1.180141568183899,True,True
GradCAM,128,brightness,5,stubborn_failure,288,1.0,0.005049467086791992,True,False
GradCAM,128,brightness,5,expected_failure,870,0.0,1.5227792263031006,False,False
GradCAM,128,fog,1,robust,792,1.0,3.6559998989105225e-05,True,True
GradCAM,128,fog,1,silent_drift,483,0.0,0.7435985803604126,True,True
GradCAM,128,fog,1,stubborn_failure,176,1.0,0.0023150891065597534,True,False
GradCAM,128,fog,1,expected_failure,332,0.0,0.3848377466201782,True,False
GradCAM,128,fog,2,robust,6,1.0,3.6247074604034424e-05,True,True
GradCAM,128,fog,2,silent_drift,127,0.0,1.3012152910232544,True,True
GradCAM,128,fog,2,stubborn_failure,694,1.0,0.004674263298511505,True,False
GradCAM,128,fog,2,expected_failure,919,0.0,1.2123221158981323,False,False
GradCAM,128,fog,3,robust,227,1.0,4.291534423828125e-06,True,True
GradCAM,128,fog,3,silent_drift,251,0.0,1.3832706212997437,True,True
GradCAM,128,fog,3,stubborn_failure,736,1.0,0.0010867118835449219,False,False
GradCAM,128,fog,3,expected_failure,679,0.0,1.8316469192504883,False,False
GradCAM,128,fog,5,robust,491,1.0,5.379319190979004e-06,True,True
GradCAM,128,fog,5,silent_drift,925,0.0,1.8223373889923096,True,True
GradCAM,128,fog,5,stubborn_failure,630,1.0,0.0010141879320144653,False,False
GradCAM,128,fog,5,expected_failure,482,0.0,1.8290190696716309,False,False
GradCAM,128,gaussian_noise,1,robust,774,1.0,7.146596908569336e-05,True,True
GradCAM,128,gaussian_noise,1,silent_drift,457,0.0,1.3890643119812012,True,True
GradCAM,128,gaussian_noise,1,stubborn_failure,150,1.0,0.001821570098400116,True,False
GradCAM,128,gaussian_noise,1,expected_failure,70,0.0,1.6056134700775146,False,False
GradCAM,128,gaussian_noise,2,robust,787,1.0,8.097663521766663e-05,True,True
GradCAM,128,gaussian_noise,2,silent_drift,990,0.0,1.9191255569458008,True,True
GradCAM,128,gaussian_noise,2,stubborn_failure,607,1.0,0.03335028886795044,False,False
GradCAM,128,gaussian_noise,2,expected_failure,223,0.0,1.9680237770080566,False,False
GradCAM,128,gaussian_noise,3,robust,78,1.0,2.3946166038513184e-05,True,True
GradCAM,128,gaussian_noise,3,silent_drift,960,0.0,1.8034948110580444,True,True
GradCAM,128,gaussian_noise,3,stubborn_failure,912,1.0,0.0007451027631759644,True,False
GradCAM,128,gaussian_noise,3,expected_failure,423,0.0,1.8757330179214478,False,False
GradCAM,128,gaussian_noise,5,robust,292,1.0,0.0003232434391975403,True,True
GradCAM,128,gaussian_noise,5,silent_drift,209,0.0,1.7746838331222534,True,True
GradCAM,128,gaussian_noise,5,stubborn_failure,664,1.0,0.055388517677783966,False,False
GradCAM,128,gaussian_noise,5,expected_failure,489,0.0,1.8717060089111328,False,False
GradCAM,1200,brightness,1,robust,241,1.0,1.2367963790893555e-06,True,True
GradCAM,1200,brightness,1,silent_drift,765,0.0,0.2955266535282135,True,True
GradCAM,1200,brightness,1,stubborn_failure,224,1.0,0.00011871755123138428,True,False
GradCAM,1200,brightness,1,expected_failure,251,0.0,0.43413054943084717,True,False
GradCAM,1200,brightness,2,robust,563,1.0,1.3262033462524414e-06,True,True
GradCAM,1200,brightness,2,silent_drift,980,0.0,0.7796187996864319,True,True
GradCAM,1200,brightness,2,stubborn_failure,594,1.0,0.0004862770438194275,True,False
GradCAM,1200,brightness,2,expected_failure,559,0.0,0.8913463354110718,True,False
GradCAM,1200,brightness,3,robust,676,1.0,4.664063453674316e-06,True,True
GradCAM,1200,brightness,3,silent_drift,980,0.0,0.9959690570831299,True,True
GradCAM,1200,brightness,3,stubborn_failure,244,1.0,0.006493687629699707,False,False
GradCAM,1200,brightness,3,expected_failure,233,0.0,1.3739938735961914,False,False
GradCAM,1200,brightness,5,robust,52,1.0,5.106627941131592e-05,True,True
GradCAM,1200,brightness,5,silent_drift,765,0.0,1.5013201236724854,True,True
GradCAM,1200,brightness,5,stubborn_failure,544,1.0,0.009069517254829407,True,False
GradCAM,1200,brightness,5,expected_failure,980,0.0,1.491750717163086,False,False
GradCAM,1200,fog,1,robust,650,1.0,2.0042061805725098e-06,True,True
GradCAM,1200,fog,1,silent_drift,886,0.0,0.7435985803604126,True,True
GradCAM,1200,fog,1,stubborn_failure,275,1.0,0.00416874885559082,True,False
GradCAM,1200,fog,1,expected_failure,251,0.0,0.6964559555053711,True,False
GradCAM,1200,fog,2,robust,59,1.0,4.3720006942749023e-05,True,True
GradCAM,1200,fog,2,silent_drift,546,0.0,0.9801009297370911,True,True
GradCAM,1200,fog,2,stubborn_failure,470,1.0,0.010688245296478271,False,False
GradCAM,1200,fog,2,expected_failure,61,0.0,1.19011652469635,True,False
GradCAM,1200,fog,3,robust,502,1.0,5.46872615814209e-06,True,True
GradCAM,1200,fog,3,silent_drift,665,0.0,1.3481742143630981,True,True
GradCAM,1200,fog,3,stubborn_failure,912,1.0,0.0009655654430389404,True,False
GradCAM,1200,fog,3,expected_failure,543,0.0,1.7097026109695435,False,False
GradCAM,1200,fog,5,robust,816,1.0,9.454786777496338e-06,True,True
GradCAM,1200,fog,5,silent_drift,54,0.0,1.5163427591323853,True,True
GradCAM,1200,fog,5,stubborn_failure,969,1.0,0.02634044736623764,False,False
GradCAM,1200,fog,5,expected_failure,144,0.0,1.7654410600662231,False,False
GradCAM,1200,gaussian_noise,1,robust,528,1.0,2.228468656539917e-05,True,True
GradCAM,1200,gaussian_noise,1,silent_drift,465,0.0,1.6576480865478516,True,True
GradCAM,1200,gaussian_noise,1,stubborn_failure,912,1.0,0.008684635162353516,True,False
GradCAM,1200,gaussian_noise,1,expected_failure,303,0.0,1.6509007215499878,False,False
GradCAM,1200,gaussian_noise,2,robust,885,1.0,0.00027310848236083984,True,True
GradCAM,1200,gaussian_noise,2,silent_drift,145,0.0,1.7079989910125732,True,True
GradCAM,1200,gaussian_noise,2,stubborn_failure,637,1.0,0.006113335490226746,False,False
GradCAM,1200,gaussian_noise,2,expected_failure,237,0.0,1.8955239057540894,False,False
GradCAM,1200,gaussian_noise,3,robust,879,1.0,2.3946166038513184e-05,True,True
GradCAM,1200,gaussian_noise,3,silent_drift,627,0.0,1.8034946918487549,True,True
GradCAM,1200,gaussian_noise,3,stubborn_failure,51,1.0,0.00027601420879364014,False,False
GradCAM,1200,gaussian_noise,3,expected_failure,421,0.0,1.9699749946594238,False,False
GradCAM,1200,gaussian_noise,5,robust,752,1.0,0.0011537820100784302,True,True
GradCAM,1200,gaussian_noise,5,silent_drift,704,0.0,1.7162361145019531,True,True
