explainer,corruption,severity,zone,share_mean,share_sd,n_seeds
GradCAM,brightness,1,Expected Failure,0.0016,0.0005477225575051661,5
GradCAM,brightness,1,Robust,0.9194000000000001,0.008677557259966674,5
GradCAM,brightness,1,Silent Drift,0.0034000000000000002,0.0013416407864998738,5
GradCAM,brightness,1,Stubborn Failure,0.0756,0.007924645102463575,5
GradCAM,brightness,2,Expected Failure,0.0046,0.0018165902124584951,5
GradCAM,brightness,2,Robust,0.8914,0.01228006514640703,5
GradCAM,brightness,2,Silent Drift,0.0228,0.006058052492344383,5
GradCAM,brightness,2,Stubborn Failure,0.0812,0.00831865373723417,5
GradCAM,brightness,3,Expected Failure,0.008400000000000001,0.0015165750888103103,5
GradCAM,brightness,3,Robust,0.8577999999999999,0.013590437814875577,5
GradCAM,brightness,3,Silent Drift,0.0474,0.011760102040373631,5
GradCAM,brightness,3,Stubborn Failure,0.0864,0.00870631954387157,5
GradCAM,brightness,5,Expected Failure,0.0408,0.0023874672772626654,5
GradCAM,brightness,5,Robust,0.7055999999999999,0.018338484124921596,5
GradCAM,brightness,5,Silent Drift,0.1562,0.013367871932360826,5
GradCAM,brightness,5,Stubborn Failure,0.0974,0.014707141122597552,5
GradCAM,fog,1,Expected Failure,0.0038,0.0013038404810405298,5
GradCAM,fog,1,Robust,0.8958,0.005263078946776304,5
GradCAM,fog,1,Silent Drift,0.02,0.003807886552931954,5
GradCAM,fog,1,Stubborn Failure,0.0804,0.007334848328356897,5
GradCAM,fog,2,Expected Failure,0.0154,0.0016733200530681508,5
GradCAM,fog,2,Robust,0.7976000000000001,0.0072318738927057945,5
GradCAM,fog,2,Silent Drift,0.0964,0.006580273550544841,5
GradCAM,fog,2,Stubborn Failure,0.0906,0.0073006848993775915,5
GradCAM,fog,3,Expected Failure,0.0408,0.007259476565152616,5
GradCAM,fog,3,Robust,0.6971999999999999,0.019524343778985244,5
GradCAM,fog,3,Silent Drift,0.16419999999999998,0.018833480825381152,5
GradCAM,fog,3,Stubborn Failure,0.0978,0.007854934754662193,5
GradCAM,fog,5,Expected Failure,0.1888,0.010084641788382975,5
GradCAM,fog,5,Robust,0.3588,0.016146206984923736,5
GradCAM,fog,5,Silent Drift,0.275,0.015149257407543108,5
GradCAM,fog,5,Stubborn Failure,0.1774,0.00864869932417587,5
GradCAM,gaussian_noise,1,Expected Failure,0.0504,0.004505552130427523,5
GradCAM,gaussian_noise,1,Robust,0.6794,0.014484474446799898,5
GradCAM,gaussian_noise,1,Silent Drift,0.1624,0.01283744522870497,5
GradCAM,gaussian_noise,1,Stubborn Failure,0.1078,0.009884331034521259,5
GradCAM,gaussian_noise,2,Expected Failure,0.1602,0.010009995004993765,5
GradCAM,gaussian_noise,2,Robust,0.4516,0.020231164079212022,5
