explainer,corruption,severity,delta_e_mean,delta_e_sd,delta_p_mean,delta_p_sd,n_seeds,slice,de_metric,dp_metric
GradCAM,brightness,1,0.03243204355239868,0.004784042975729013,0.012599992752075195,0.004505560930478265,5,all,rho,flip_rate
GradCAM,brightness,2,0.08488546609878538,0.010553482873213725,0.026599991321563675,0.005549768296161458,5,all,rho,flip_rate
GradCAM,brightness,3,0.14343249797821045,0.013356077327334088,0.040400016307830765,0.005941376550969626,5,all,rho,flip_rate
GradCAM,brightness,5,0.3487260460853577,0.015576422877168344,0.09600000381469727,0.012103727576770125,5,all,rho,flip_rate
GradCAM,fog,1,0.0770420789718628,0.00505113051042545,0.02519999742507937,0.002387465250103392,5,all,rho,flip_rate
GradCAM,fog,2,0.2327331781387329,0.010259558667950357,0.055800008773803714,0.00622092944346643,5,all,rho,flip_rate
GradCAM,fog,3,0.3599637269973755,0.020681417727051263,0.09700000286102291,0.009027729404202567,5,all,rho,flip_rate
GradCAM,fog,5,0.7117597937583924,0.019367714418400246,0.33380000591278075,0.007791016178916516,5,all,rho,flip_rate
GradCAM,gaussian_noise,1,0.3763653039932251,0.01900266933038037,0.11980000734329224,0.007981218571867229,5,all,rho,flip_rate
GradCAM,gaussian_noise,2,0.6383772373199463,0.026249935779141302,0.28080000877380373,0.019498716612924582,5,all,rho,flip_rate
GradCAM,gaussian_noise,3,0.7843788355588913,0.020723697038743712,0.4727999925613403,0.01834939185728995,5,all,rho,flip_rate
GradCAM,gaussian_noise,5,0.8584963291883468,0.010932098873589638,0.6357999980449677,0.020253403523019683,5,all,rho,flip_rate
IG,brightness,1,0.16037962436676026,0.0019369144376004,0.012599992752075195,0.004505560930478265,5,all,rho,flip_rate
IG,brightness,2,0.325054669380188,0.002845574841509705,0.026599991321563675,0.005549768296161458,5,all,rho,flip_rate
IG,brightness,3,0.46536132097244265,0.004086953544566729,0.040400016307830765,0.005941376550969626,5,all,rho,flip_rate
IG,brightness,5,0.7232330322265625,0.0018724492118838438,0.09600000381469727,0.012103727576770125,5,all,rho,flip_rate
IG,fog,1,0.15725388526916503,0.0032685965656103584,0.02519999742507937,0.002387465250103392,5,all,rho,flip_rate
IG,fog,2,0.3224384903907776,0.005968137361521087,0.055800008773803714,0.00622092944346643,5,all,rho,flip_rate
IG,fog,3,0.4421297550201416,0.007898396722996822,0.09700000286102291,0.009027729404202567,5,all,rho,flip_rate
IG,fog,5,0.6964888155460358,0.0034379129747618294,0.33380000591278075,0.007791016178916516,5,all,rho,flip_rate
IG,gaussian_noise,1,0.5081658363342285,0.005584457508329118,0.11980000734329224,0.007981218571867229,5,all,rho,flip_rate
IG,gaussian_noise,2,0.5869054436683655,0.004767153043572178,0.28080000877380373,0.019498716612924582,5,all,rho,flip_rate
IG,gaussian_noise,3,0.6359175741672516,0.004406117131210354,0.4727999925613403,0.01834939185728995,5,all,rho,flip_rate
IG,gaussian_noise,5,0.6729743897914886,0.00441204627754474,0.6357999980449677,0.020253403523019683,5,all,rho,flip_rate
