explainer,corruption,severity,delta_e_mean,delta_e_sd,delta_p_mean,delta_p_sd,n_seeds,slice,de_metric,dp_metric
GradCAM,brightness,1,0.03068403005599969,0.00441698047446831,0.012599992752075195,0.004505560930478265,5,both_corr,rho,flip_rate
GradCAM,brightness,2,0.08088537454605102,0.00854999335129302,0.026599991321563675,0.005549768296161458,5,both_corr,rho,flip_rate
GradCAM,brightness,3,0.13726539611816407,0.012631036241770246,0.040400016307830765,0.005941376550969626,5,both_corr,rho,flip_rate
GradCAM,brightness,5,0.32671667337417604,0.018732772032067316,0.09600000381469727,0.012103727576770125,5,both_corr,rho,flip_rate
GradCAM,fog,1,0.07566902637481691,0.003951034444079332,0.02519999742507937,0.002387465250103392,5,both_corr,rho,flip_rate
GradCAM,fog,2,0.22627288103103638,0.011531783834860173,0.055800008773803714,0.00622092944346643,5,both_corr,rho,flip_rate
GradCAM,fog,3,0.34257701635360716,0.025430599501538417,0.09700000286102291,0.009027729404202567,5,both_corr,rho,flip_rate
GradCAM,fog,5,0.6735584497451782,0.025714854061450333,0.33380000591278075,0.007791016178916516,5,both_corr,rho,flip_rate
GradCAM,gaussian_noise,1,0.3473779559135437,0.018840330415451575,0.11980000734329224,0.007981218571867229,5,both_corr,rho,flip_rate
GradCAM,gaussian_noise,2,0.5683467984199524,0.02736927970339912,0.28080000877380373,0.019498716612924582,5,both_corr,rho,flip_rate
GradCAM,gaussian_noise,3,0.7026496589183807,0.025207645256792116,0.4727999925613403,0.01834939185728995,5,both_corr,rho,flip_rate
GradCAM,gaussian_noise,5,0.7812532901763916,0.026899464555035914,0.6357999980449677,0.020253403523019683,5,both_corr,rho,flip_rate
IG,brightness,1,0.15998739004135132,0.00172528249630652,0.012599992752075195,0.004505560930478265,5,both_corr,rho,flip_rate
IG,brightness,2,0.32395931482315066,0.0026889535944893423,0.026599991321563675,0.005549768296161458,5,both_corr,rho,flip_rate
IG,brightness,3,0.4640782833099365,0.004003011758068796,0.040400016307830765,0.005941376550969626,5,both_corr,rho,flip_rate
IG,brightness,5,0.7201931297779083,0.002434534782352413,0.09600000381469727,0.012103727576770125,5,both_corr,rho,flip_rate
IG,fog,1,0.1559840679168701,0.0029284325231166246,0.02519999742507937,0.002387465250103392,5,both_corr,rho,flip_rate
IG,fog,2,0.3167647957801819,0.005841354497392563,0.055800008773803714,0.00622092944346643,5,both_corr,rho,flip_rate
IG,fog,3,0.4321539282798767,0.007067935277472944,0.09700000286102291,0.009027729404202567,5,both_corr,rho,flip_rate
IG,fog,5,0.6741124033927918,0.0033266682351705914,0.33380000591278075,0.007791016178916516,5,both_corr,rho,flip_rate
IG,gaussian_noise,1,0.5026425361633301,0.00628498107799309,0.11980000734329224,0.007981218571867229,5,both_corr,rho,flip_rate
IG,gaussian_noise,2,0.5777224540710449,0.004612445330177367,0.28080000877380373,0.019498716612924582,5,both_corr,rho,flip_rate
IG,gaussian_noise,3,0.6240343391895294,0.006361302181927298,0.4727999925613403,0.01834939185728995,5,both_corr,rho,flip_rate
IG,gaussian_noise,5,0.663345468044281,0.005195144967667187,0.6357999980449677,0.020253403523019683,5,both_corr,rho,flip_rate
