explainer,corruption,severity,delta_e_mean,delta_e_sd,delta_p_mean,delta_p_sd,n_seeds,slice,de_metric,dp_metric
GradCAM,brightness,1,0.07217748165130615,0.006507851146035697,0.012599992752075195,0.004505560930478265,5,inv,iou,flip_rate
GradCAM,brightness,2,0.140797221660614,0.007833268348758755,0.026599991321563675,0.005549768296161458,5,inv,iou,flip_rate
GradCAM,brightness,3,0.20170605182647705,0.01167810795998367,0.040400016307830765,0.005941376550969626,5,inv,iou,flip_rate
GradCAM,brightness,5,0.35585360527038573,0.012450405762672163,0.09600000381469727,0.012103727576770125,5,inv,iou,flip_rate
GradCAM,fog,1,0.13830797672271727,0.00770108385274578,0.02519999742507937,0.002387465250103392,5,inv,iou,flip_rate
GradCAM,fog,2,0.2809146523475647,0.013841288372485125,0.055800008773803714,0.00622092944346643,5,inv,iou,flip_rate
GradCAM,fog,3,0.3901923060417175,0.02525568931177054,0.09700000286102291,0.009027729404202567,5,inv,iou,flip_rate
GradCAM,fog,5,0.5907747447490692,0.0156759767304507,0.33380000591278075,0.007791016178916516,5,inv,iou,flip_rate
GradCAM,gaussian_noise,1,0.3726791501045227,0.00905046929655028,0.11980000734329224,0.007981218571867229,5,inv,iou,flip_rate
GradCAM,gaussian_noise,2,0.507608163356781,0.015552918284460543,0.28080000877380373,0.019498716612924582,5,inv,iou,flip_rate
GradCAM,gaussian_noise,3,0.5906073927879334,0.01318058235463516,0.4727999925613403,0.01834939185728995,5,inv,iou,flip_rate
GradCAM,gaussian_noise,5,0.6192460298538208,0.034027117041145034,0.6357999980449677,0.020253403523019683,5,inv,iou,flip_rate
IG,brightness,1,0.3562835931777954,0.002965899383477572,0.012599992752075195,0.004505560930478265,5,inv,iou,flip_rate
IG,brightness,2,0.5593043208122254,0.0026987983752954463,0.026599991321563675,0.005549768296161458,5,inv,iou,flip_rate
IG,brightness,3,0.6964714705944062,0.002854738303209383,0.040400016307830765,0.005941376550969626,5,inv,iou,flip_rate
IG,brightness,5,0.8827542558312416,0.0010616176057793023,0.09600000381469727,0.012103727576770125,5,inv,iou,flip_rate
IG,fog,1,0.31037001609802245,0.004089979875341733,0.02519999742507937,0.002387465250103392,5,inv,iou,flip_rate
IG,fog,2,0.5119383811950684,0.004829835021356362,0.055800008773803714,0.00622092944346643,5,inv,iou,flip_rate
IG,fog,3,0.6269043982028961,0.007278630906351139,0.09700000286102291,0.009027729404202567,5,inv,iou,flip_rate
IG,fog,5,0.8252575069665908,0.0016289388783104456,0.33380000591278075,0.007791016178916516,5,inv,iou,flip_rate
IG,gaussian_noise,1,0.7403221249580383,0.004920715927653376,0.11980000734329224,0.007981218571867229,5,inv,iou,flip_rate
IG,gaussian_noise,2,0.8112629503011703,0.00363935886647026,0.28080000877380373,0.019498716612924582,5,inv,iou,flip_rate
IG,gaussian_noise,3,0.8503176480531692,0.0028383647686223597,0.4727999925613403,0.01834939185728995,5,inv,iou,flip_rate
IG,gaussian_noise,5,0.8720047891139984,0.0015728850523781914,0.6357999980449677,0.020253403523019683,5,inv,iou,flip_rate
