explainer,corruption,severity,score,auc_mean,auc_sd,n_seeds
GradCAM,brightness,1,confidence_drift,0.9898476182398166,0.006621706968652101,5
GradCAM,brightness,1,entropy_drift,0.8838958494895317,0.07164911130996036,5
GradCAM,brightness,1,explanation_drift,0.461034727222087,0.04864019493861254,5
GradCAM,brightness,2,confidence_drift,0.988100761375188,0.0052070105085863395,5
GradCAM,brightness,2,entropy_drift,0.8956838204323742,0.0344740068265361,5
GradCAM,brightness,2,explanation_drift,0.4592550402714982,0.025241322777399135,5
GradCAM,brightness,3,confidence_drift,0.9904525208470426,0.005277976498391917,5
GradCAM,brightness,3,entropy_drift,0.9305983909795865,0.020669338845820392,5
GradCAM,brightness,3,explanation_drift,0.4988388426608923,0.01688855612975789,5
GradCAM,brightness,5,confidence_drift,0.9936817599097534,0.0020049517934390046,5
GradCAM,brightness,5,entropy_drift,0.9019063428128666,0.008777572082665466,5
GradCAM,brightness,5,explanation_drift,0.5469810117634568,0.024212073017545816,5
GradCAM,defocus_blur,1,confidence_drift,0.9844779664912389,0.00698992520162097,5
GradCAM,defocus_blur,1,entropy_drift,0.876148514729687,0.06738069773932862,5
GradCAM,defocus_blur,1,explanation_drift,0.39563461034223113,0.07939963676309615,5
GradCAM,defocus_blur,2,confidence_drift,0.9936088580323366,0.001597213794166545,5
GradCAM,defocus_blur,2,entropy_drift,0.9207416588256402,0.010837502722436944,5
GradCAM,defocus_blur,2,explanation_drift,0.5008430140743239,0.08799656763174857,5
GradCAM,defocus_blur,3,confidence_drift,0.994672503436443,0.002573108974440244,5
GradCAM,defocus_blur,3,entropy_drift,0.9042686049255281,0.02028113938057046,5
GradCAM,defocus_blur,3,explanation_drift,0.5317875155204262,0.04633398795483798,5
GradCAM,defocus_blur,5,confidence_drift,0.996371572022575,0.000742802749262314,5
GradCAM,defocus_blur,5,entropy_drift,0.8033815963754334,0.011415525465348162,5
GradCAM,defocus_blur,5,explanation_drift,0.4897934045414013,0.01596983232172108,5
GradCAM,fog,1,confidence_drift,0.9865966186368809,0.006052765609195213,5
GradCAM,fog,1,entropy_drift,0.9132164846137052,0.03510427147671117,5
GradCAM,fog,1,explanation_drift,0.4290189838756387,0.05672126944694885,5
GradCAM,fog,2,confidence_drift,0.9920280089321718,0.003296127760076091,5
GradCAM,fog,2,entropy_drift,0.9112345040094375,0.015265949138786527,5
GradCAM,fog,2,explanation_drift,0.5413120098735764,0.04239517104706787,5
GradCAM,fog,3,confidence_drift,0.9959641056836199,0.002180623282486474,5
GradCAM,fog,3,entropy_drift,0.9023253325547289,0.016449553672742492,5
GradCAM,fog,3,explanation_drift,0.5324178250055791,0.04296267455390163,5
GradCAM,fog,5,confidence_drift,0.9964329746129506,0.0017620920457051088,5
GradCAM,fog,5,entropy_drift,0.7721790472592667,0.019686168176602653,5
GradCAM,fog,5,explanation_drift,0.48862458169976514,0.012442832337895048,5
GradCAM,gaussian_noise,1,confidence_drift,0.9958217408675016,0.0010337298473565152,5
GradCAM,gaussian_noise,1,entropy_drift,0.903430435378643,0.012324735664936796,5
GradCAM,gaussian_noise,1,explanation_drift,0.5947579102049266,0.037347496978183285,5
GradCAM,gaussian_noise,2,confidence_drift,0.9964489127342432,0.0009512874661776476,5
GradCAM,gaussian_noise,2,entropy_drift,0.8106328486404578,0.013396055439915379,5
GradCAM,gaussian_noise,2,explanation_drift,0.5377936540713077,0.01590333993549931,5
GradCAM,gaussian_noise,3,confidence_drift,0.9960475497383612,0.0015531771965401587,5
GradCAM,gaussian_noise,3,entropy_drift,0.7409811749811652,0.01699262694170073,5
GradCAM,gaussian_noise,3,explanation_drift,0.49714201139790404,0.016647898848535528,5
GradCAM,gaussian_noise,5,confidence_drift,0.9964681301734226,0.0006966199956159911,5
GradCAM,gaussian_noise,5,entropy_drift,0.6612021907608268,0.02256563152536285,5
GradCAM,gaussian_noise,5,explanation_drift,0.46748651381372885,0.037396706246924954,5
IG,brightness,1,confidence_drift,0.9898476182398166,0.006621706968652101,5
IG,brightness,1,entropy_drift,0.8838958494895317,0.07164911130996036,5
IG,brightness,1,explanation_drift,0.5339150961062064,0.08283941013081236,5
IG,brightness,2,confidence_drift,0.988100761375188,0.0052070105085863395,5
IG,brightness,2,entropy_drift,0.8956838204323742,0.0344740068265361,5
IG,brightness,2,explanation_drift,0.5729178206146417,0.020124147092781486,5
IG,brightness,3,confidence_drift,0.9904525208470426,0.005277976498391917,5
IG,brightness,3,entropy_drift,0.9305983909795865,0.020669338845820392,5
IG,brightness,3,explanation_drift,0.5653055908486206,0.04917592228132415,5
IG,brightness,5,confidence_drift,0.9936817599097534,0.0020049517934390046,5
IG,brightness,5,entropy_drift,0.9019063428128666,0.008777572082665466,5
IG,brightness,5,explanation_drift,0.5786326249777829,0.020855341772455686,5
IG,defocus_blur,1,confidence_drift,0.9844779664912389,0.00698992520162097,5
IG,defocus_blur,1,entropy_drift,0.876148514729687,0.06738069773932862,5
IG,defocus_blur,1,explanation_drift,0.5854658857824637,0.11422012942003364,5
IG,defocus_blur,2,confidence_drift,0.9936088580323366,0.001597213794166545,5
IG,defocus_blur,2,entropy_drift,0.9207416588256402,0.010837502722436944,5
IG,defocus_blur,2,explanation_drift,0.582021386659908,0.060589905042341845,5
IG,defocus_blur,3,confidence_drift,0.994672503436443,0.002573108974440244,5
IG,defocus_blur,3,entropy_drift,0.9042686049255281,0.02028113938057046,5
IG,defocus_blur,3,explanation_drift,0.5975897959603256,0.037898493094983686,5
IG,defocus_blur,5,confidence_drift,0.996371572022575,0.000742802749262314,5
IG,defocus_blur,5,entropy_drift,0.8033815963754334,0.011415525465348162,5
IG,defocus_blur,5,explanation_drift,0.5786319263591881,0.025530811831852615,5
IG,fog,1,confidence_drift,0.9865966186368809,0.006052765609195213,5
