explainer,corruption,severity,delta_e_mean,delta_e_sd,delta_p_mean,delta_p_sd,n_seeds,slice,de_metric,dp_metric
GradCAM,brightness,1,0.07297116518020633,0.006081416893163624,0.012599992752075195,0.004505560930478265,5,all,iou,flip_rate
GradCAM,brightness,2,0.1404483437538147,0.008163958550304141,0.026599991321563675,0.005549768296161458,5,all,iou,flip_rate
GradCAM,brightness,3,0.20390132665634156,0.013110870476137217,0.040400016307830765,0.005941376550969626,5,all,iou,flip_rate
GradCAM,brightness,5,0.3684260964393616,0.007949370486083044,0.09600000381469727,0.012103727576770125,5,all,iou,flip_rate
GradCAM,fog,1,0.13855839967727662,0.006952561380675925,0.02519999742507937,0.002387465250103392,5,all,iou,flip_rate
GradCAM,fog,2,0.2883537769317627,0.01290349416974791,0.055800008773803714,0.00622092944346643,5,all,iou,flip_rate
GradCAM,fog,3,0.402208149433136,0.020604655334275718,0.09700000286102291,0.009027729404202567,5,all,iou,flip_rate
GradCAM,fog,5,0.6327380955219268,0.011015321539625558,0.33380000591278075,0.007791016178916516,5,all,iou,flip_rate
GradCAM,gaussian_noise,1,0.3988391637802124,0.009406846899971526,0.11980000734329224,0.007981218571867229,5,all,iou,flip_rate
GradCAM,gaussian_noise,2,0.5626994431018829,0.021275231403872708,0.28080000877380373,0.019498716612924582,5,all,iou,flip_rate
GradCAM,gaussian_noise,3,0.6819491684436798,0.003154454016831173,0.4727999925613403,0.01834939185728995,5,all,iou,flip_rate
GradCAM,gaussian_noise,5,0.7516540288925171,0.012336741409585636,0.6357999980449677,0.020253403523019683,5,all,iou,flip_rate
IG,brightness,1,0.35642980337142943,0.0030014062086068,0.012599992752075195,0.004505560930478265,5,all,iou,flip_rate
IG,brightness,2,0.5601191222667694,0.0026972732728440477,0.026599991321563675,0.005549768296161458,5,all,iou,flip_rate
IG,brightness,3,0.6974088907241821,0.002665275681625674,0.040400016307830765,0.005941376550969626,5,all,iou,flip_rate
IG,brightness,5,0.8841670379042625,0.0012776893327150808,0.09600000381469727,0.012103727576770125,5,all,iou,flip_rate
IG,fog,1,0.311702573299408,0.004284509991846257,0.02519999742507937,0.002387465250103392,5,all,iou,flip_rate
IG,fog,2,0.5172403752803802,0.004910988426028858,0.055800008773803714,0.00622092944346643,5,all,iou,flip_rate
IG,fog,3,0.6362386643886566,0.007350808490184418,0.09700000286102291,0.009027729404202567,5,all,iou,flip_rate
IG,fog,5,0.8411234259605408,0.0010098588804011957,0.33380000591278075,0.007791016178916516,5,all,iou,flip_rate
IG,gaussian_noise,1,0.7470643490552902,0.004825087761014589,0.11980000734329224,0.007981218571867229,5,all,iou,flip_rate
IG,gaussian_noise,2,0.8222896605730057,0.003047092081849707,0.28080000877380373,0.019498716612924582,5,all,iou,flip_rate
IG,gaussian_noise,3,0.8627879858016968,0.0017243836864585876,0.4727999925613403,0.01834939185728995,5,all,iou,flip_rate
IG,gaussian_noise,5,0.8841643944382668,0.0011472146948628126,0.6357999980449677,0.020253403523019683,5,all,iou,flip_rate
