corruption,severity,rho,n
brightness,1,0.15578459422155838,246
brightness,2,0.1671388929423416,243
brightness,3,0.17166643717503965,236
brightness,5,0.10646144255551106,223
defocus_blur,1,0.08722034447562772,249
defocus_blur,2,0.10193529077365336,239
defocus_blur,3,0.05903014346333205,227
defocus_blur,5,-0.07069436883105454,176
fog,1,0.17299217021652002,245
fog,2,0.23883957817127308,237
fog,3,0.15353189640657716,226
fog,5,0.269559096827675,165
gaussian_noise,1,0.2619280679616586,228
gaussian_noise,2,0.2977628334220368,193
gaussian_noise,3,0.21106711583689877,140
gaussian_noise,5,0.08968319324902409,96
"('brightness',)",pooled,0.35728858101557776,948
"('defocus_blur',)",pooled,0.4005178449436794,891
"('fog',)",pooled,0.4205620543630536,873
"('gaussian_noise',)",pooled,0.37249825538418585,657
