explainer,category,metric,corruption,severity,q_clean_mean,q_shifted_mean,delta_q_signed_mean,delta_q_signed_sd,delta_q_abs_mean,delta_q_abs_sd,delta_e_mean,delta_e_sd,n_seeds,slice
GradCAM,complexity,sparseness,brightness,1,0.36318928791770344,0.3638782838042466,0.0006889958865431645,0.0013163439442129274,0.001074906593567082,0.0009390821651699667,0.07217748165130615,0.006507851146035697,5,inv
GradCAM,complexity,sparseness,brightness,2,0.36318928791770344,0.3626059251061394,-0.0005833628115640033,0.0017624717529748134,0.0014611426560268482,0.0009289911548838582,0.140797221660614,0.007833268348758755,5,inv
GradCAM,complexity,sparseness,brightness,3,0.36318928791770344,0.3618222179211319,-0.0013670699965715682,0.002707025399965959,0.002509919098200486,0.0013377105950388405,0.20170605182647705,0.01167810795998367,5,inv
GradCAM,complexity,sparseness,brightness,5,0.36318928791770344,0.36296704417315123,-0.00022224374455223072,0.004719462041579866,0.003721158523244983,0.002241938083557498,0.35585360527038573,0.012450405762672163,5,inv
GradCAM,complexity,sparseness,fog,1,0.36318928791770344,0.36219902127744386,-0.0009902666402596184,0.002331554219712806,0.0022376881302414,0.0006347203263606485,0.13830797672271727,0.00770108385274578,5,inv
GradCAM,complexity,sparseness,fog,2,0.36318928791770344,0.3631591866899343,-3.0101227769174786e-05,0.004859059709369929,0.004106219921482623,0.0015922598122284377,0.2809146523475647,0.013841288372485125,5,inv
GradCAM,complexity,sparseness,fog,3,0.36318928791770344,0.36351480304787853,0.00032551513017509137,0.004916858090734956,0.004133313774758629,0.0017183102626214333,0.3901923060417175,0.02525568931177054,5,inv
GradCAM,complexity,sparseness,fog,5,0.36318928791770344,0.36305855159733225,-0.00013073632037122752,0.0029438072784742234,0.002331811318198229,0.0013750222707401404,0.5907747447490692,0.0156759767304507,5,inv
GradCAM,complexity,sparseness,gaussian_noise,1,0.36318928791770344,0.36394535264829597,0.0007560647305925094,0.0020632302606870168,0.0018269107210733715,0.0008941241391473484,0.3726791501045227,0.00905046929655028,5,inv
GradCAM,complexity,sparseness,gaussian_noise,2,0.36318928791770344,0.3659304529455396,0.0027411650278361677,0.0014609328852779734,0.0027411650278361677,0.0014609328852779734,0.507608163356781,0.015552918284460543,5,inv
GradCAM,complexity,sparseness,gaussian_noise,3,0.36318928791770344,0.3648574932099345,0.0016682052922310509,0.0024632690286085853,0.001974221685377897,0.00216203407693229,0.5906073927879334,0.01318058235463516,5,inv
GradCAM,complexity,sparseness,gaussian_noise,5,0.36318928791770344,0.3675327155261344,0.0043434276084309605,0.00415706814992153,0.004780412815334767,0.0035067772218835475,0.6192460298538208,0.034027117041145034,5,inv
GradCAM,faithfulness,corr,brightness,1,0.00816099852516052,0.0082823350510106,0.00012133652585008051,0.004673370895163793,0.003920269154076279,0.0016273170907642142,0.07217748165130615,0.006507851146035697,5,inv
GradCAM,faithfulness,corr,brightness,2,0.00816099852516052,0.008816368676658661,0.0006553701514981404,0.010068678638804885,0.00817077105032894,0.0042968945332358685,0.140797221660614,0.007833268348758755,5,inv
GradCAM,faithfulness,corr,brightness,3,0.00816099852516052,0.00893272424378764,0.0007717257186271203,0.0072597819750361,0.00492147914112892,0.00481380191588088,0.20170605182647705,0.01167810795998367,5,inv
GradCAM,faithfulness,corr,brightness,5,0.00816099852516052,0.0157857958897846,0.007624797364624081,0.00861581490823064,0.008861634226857078,0.0069816533596352495,0.35585360527038573,0.012450405762672163,5,inv
GradCAM,faithfulness,corr,fog,1,0.00816099852516052,0.0112716921964765,0.0031106936713159805,0.011378428248650067,0.008357150015818821,0.007366254327811987,0.13830797672271727,0.00770108385274578,5,inv
GradCAM,faithfulness,corr,fog,2,0.00816099852516052,0.0160761594565281,0.00791516093136758,0.010014503863363363,0.00800583085068122,0.009924003417420833,0.2809146523475647,0.013841288372485125,5,inv
GradCAM,faithfulness,corr,fog,3,0.00816099852516052,0.01456743790894428,0.00640643938378376,0.012780121071584365,0.00836788176091836,0.011274208181556993,0.3901923060417175,0.02525568931177054,5,inv
GradCAM,faithfulness,corr,fog,5,0.00816099852516052,0.018836126029662382,0.01067512750450186,0.012574540460979453,0.01185623294128274,0.011173816599715473,0.5907747447490692,0.0156759767304507,5,inv
GradCAM,faithfulness,corr,gaussian_noise,1,0.00816099852516052,0.01232145339338276,0.004160454868222241,0.010676643068821075,0.00736107532148572,0.008239881719200535,0.3726791501045227,0.00905046929655028,5,inv
GradCAM,faithfulness,corr,gaussian_noise,2,0.00816099852516052,0.01462221058925096,0.0064612120640904405,0.006617651267216228,0.006478008395302161,0.006597093602785758,0.507608163356781,0.015552918284460543,5,inv
GradCAM,faithfulness,corr,gaussian_noise,3,0.00816099852516052,0.01675535870048088,0.00859436017532036,0.007460335464062753,0.00988663728901524,0.005079703993303636,0.5906073927879334,0.01318058235463516,5,inv
GradCAM,faithfulness,corr,gaussian_noise,5,0.00816099852516052,0.01841731997725078,0.010256321452090262,0.013103752072459018,0.011208526684251222,0.012089650222308668,0.6192460298538208,0.034027117041145034,5,inv
IG,complexity,sparseness,brightness,1,0.6035112058992702,0.6014258747512602,-0.0020853311480099725,0.0006869333482200113,0.0020853311480099725,0.0006869333482200113,0.3562835931777954,0.002965899383477572,5,inv
IG,complexity,sparseness,brightness,2,0.6035112058992702,0.5997007781991254,-0.003810427700144747,0.0011244714386260569,0.003810427700144747,0.0011244714386260569,0.5593043208122254,0.0026987983752954463,5,inv
IG,complexity,sparseness,brightness,3,0.6035112058992702,0.5986485478224621,-0.004862658076808102,0.0013994390383015953,0.004862658076808102,0.0013994390383015953,0.6964714705944062,0.002854738303209383,5,inv
IG,complexity,sparseness,brightness,5,0.6035112058992702,0.5938286375907736,-0.009682568308496498,0.002063624490340708,0.009682568308496498,0.002063624490340708,0.8827542558312416,0.0010616176057793023,5,inv
IG,complexity,sparseness,fog,1,0.6035112058992702,0.6061650315218321,0.0026538256225619116,0.0003497959148336152,0.0026538256225619116,0.0003497959148336152,0.31037001609802245,0.004089979875341733,5,inv
IG,complexity,sparseness,fog,2,0.6035112058992702,0.6129555767767974,0.009444370877527164,0.0003691172861916644,0.009444370877527164,0.0003691172861916644,0.5119383811950684,0.004829835021356362,5,inv
IG,complexity,sparseness,fog,3,0.6035112058992702,0.618495951112233,0.014984745212962825,0.0013373790957215887,0.014984745212962825,0.0013373790957215887,0.6269043982028961,0.007278630906351139,5,inv
IG,complexity,sparseness,fog,5,0.6035112058992702,0.6279163819257753,0.024405176026505094,0.0012608085297862162,0.024405176026505094,0.0012608085297862162,0.8252575069665908,0.0016289388783104456,5,inv
IG,complexity,sparseness,gaussian_noise,1,0.6035112058992702,0.5966994691177266,-0.006811736781543587,0.0015369951778929794,0.006811736781543587,0.0015369951778929794,0.7403221249580383,0.004920715927653376,5,inv
IG,complexity,sparseness,gaussian_noise,2,0.6035112058992702,0.5919536535203094,-0.011557552378960745,0.0015716542986143392,0.011557552378960745,0.0015716542986143392,0.8112629503011703,0.00363935886647026,5,inv
IG,complexity,sparseness,gaussian_noise,3,0.6035112058992702,0.5851867685594433,-0.018324437339826895,0.0016626786966278846,0.018324437339826895,0.0016626786966278846,0.8503176480531692,0.0028383647686223597,5,inv
IG,complexity,sparseness,gaussian_noise,5,0.6035112058992702,0.5779452762915639,-0.025565929607706296,0.002483288553684636,0.025565929607706296,0.002483288553684636,0.8720047891139984,0.0015728850523781914,5,inv
IG,faithfulness,corr,brightness,1,0.0359724322343827,0.03491495893089746,-0.0010574733034852402,0.004966073177662781,0.003959138656952241,0.002542876601246057,0.3562835931777954,0.002965899383477572,5,inv
IG,faithfulness,corr,brightness,2,0.0359724322343827,0.0361133041863528,0.0001408719519701,0.014297468690792412,0.010243729873128299,0.00856007680781707,0.5593043208122254,0.0026987983752954463,5,inv
IG,faithfulness,corr,brightness,3,0.0359724322343827,0.032298010606401015,-0.003674421627981682,0.008775005252439584,0.007808831747803839,0.0042017994328240205,0.6964714705944062,0.002854738303209383,5,inv
IG,faithfulness,corr,brightness,5,0.0359724322343827,0.021388872850213,-0.0145835593841697,0.006825399004457482,0.0145835593841697,0.006825399004457482,0.8827542558312416,0.0010616176057793023,5,inv
IG,faithfulness,corr,fog,1,0.0359724322343827,0.03627901948624398,0.0003065872518612796,0.007451372957202881,0.005059691547274119,0.004862083445822661,0.31037001609802245,0.004089979875341733,5,inv
IG,faithfulness,corr,fog,2,0.0359724322343827,0.04276304213461474,0.0067906099002320395,0.0013289095185872732,0.0067906099002320395,0.0013289095185872732,0.5119383811950684,0.004829835021356362,5,inv
IG,faithfulness,corr,fog,3,0.0359724322343827,0.04826757924534144,0.012295147010958738,0.007973035906591349,0.012295147010958738,0.007973035906591349,0.6269043982028961,0.007278630906351139,5,inv
IG,faithfulness,corr,fog,5,0.0359724322343827,0.05858378090100826,0.02261134866662556,0.007730111760743761,0.02261134866662556,0.007730111760743761,0.8252575069665908,0.0016289388783104456,5,inv
